YEAR,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014
MONTH,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Total,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO
HOMICIDIO DOLOSO,16866,1410,1406,1551,1371,1432,1400,1274,1325,1329,1364,1473,1531,14216,1314,1189,1447,1379,1423,1323,1215,1116,1149,938,837,886,14619,1203,1209,1268,1152,1271,1146,1192,1262,1212,1254,1159,1291,13849,1249,1226,1175,1123,1123,1011,1154,1096,1232,1110,1141,1209,13855,1200,1115,1217,1210,1233,1202,1248,1130,1028,1094,1031,1147,13148,1156,1076,1123,1147,1162,1058,1104,1130,1029,1011,1058,1094,12676,1084,1032,1127,1066,1114,1016,1057,1038,1050,1036,1046,1010,11658,938,939,1052,1002,1013,1039,892,922,878,1002,984,997,997,997,997,997,997,11246,952,921,955,1023,990,1026,928,839,890,900,890,932,11806,995,882,1003,959,1049,986,938,957,976,1038,1002,1021,10253,798,720,911,912,1010,894,795,795,830,865,885,838,13155,932,866,987,961,1159,1118,1154,1120,1074,1275,1330,1179,1179,1179,1179,1179,1179,16118,1184,1266,1193,1232,1268,1400,1375,1439,1478,1358,1349,1576,20680,1609,1368,1675,1715,1883,1878,1817,1875,1689,1946,1546,1679,22852,1867,1686,1888,1894,2131,2038,2013,2009,1855,1963,1770,1738,21736,1769,1679,1833,1884,1993,1890,1835,1927,1842,1685,1673,1726,1726,1726,1726,1726,1726,18388,1546,1449,1615,1668,1645,1600,1488,1510,1492,1532,1409,1434,10589,1368,1276,1415,1396,1425,1227,1200,1282
SECUESTRO,1047,79,70,66,75,109,106,92,83,145,91,79,52,734,64,71,83,72,50,53,75,63,45,59,47,52,590,50,37,48,51,45,44,47,51,57,60,46,54,591,33,43,46,33,55,57,67,98,38,37,47,37,505,36,47,46,31,39,39,41,44,42,50,37,53,435,35,33,38,42,43,33,33,33,41,31,40,33,413,45,30,43,31,25,36,32,24,43,29,45,30,323,35,37,46,24,13,28,25,17,12,29,16,41,41,41,41,41,41,278,21,29,25,31,24,13,24,25,18,25,25,18,733,52,64,62,50,64,63,71,59,60,60,64,64,438,28,28,59,30,35,43,35,28,26,35,44,47,907,52,54,67,73,60,65,67,74,82,90,124,99,99,99,99,99,99,1162,94,109,116,72,105,87,112,94,86,89,89,109,1222,104,95,107,112,128,116,113,89,99,91,90,78,1432,113,115,120,118,134,120,105,142,129,130,103,103,1418,113,110,129,106,124,106,97,116,110,140,139,128,128,128,128,128,128,1698,134,116,149,148,134,142,152,150,137,157,156,123,1032,136,151,144,142,132,113,98,116
EXTORSIÓN,876,68,72,63,64,60,68,63,70,70,85,74,119,1020,86,76,102,59,80,72,81,86,105,98,85,90,3391,236,255,277,245,324,298,323,322,303,284,261,263,1168,94,103,106,93,109,97,102,98,111,94,78,83,1337,118,94,116,101,121,93,113,122,128,117,114,100,1636,109,125,127,147,142,121,131,156,138,183,142,115,1910,137,146,169,153,175,169,156,147,162,192,161,143,2416,181,154,195,191,180,186,206,235,191,234,240,223,223,223,223,223,223,2979,223,222,276,278,303,298,292,265,194,227,210,191,3157,222,220,277,229,272,279,258,336,293,308,252,211,3123,257,241,267,235,290,326,258,272,242,281,225,229,4869,274,285,284,366,423,379,390,428,471,597,516,456,456,456,456,456,456,6332,557,532,591,533,452,536,522,488,581,548,504,488,6113,584,540,649,641,563,510,506,488,417,438,400,377,4594,357,352,406,319,404,406,368,378,427,373,398,406,7284,539,543,555,543,630,679,599,696,642,670,612,576,576,576,576,576,576,8199,577,592,643,764,783,687,775,665,713,727,670,603,4268,594,566,618,622,544,477,440,407
ROBO DE VEHICULO CON VIOLENCIA,35632,2488,2442,2973,2949,3001,2876,3267,2838,2942,3227,3567,3062,79378,7691,6989,7212,6368,6647,6434,6734,6534,6598,6354,6215,5602,62374,5725,5461,5879,5234,5522,4964,4849,5011,4846,5130,4831,4922,64800,3681,5261,6069,4666,5255,5406,5768,5834,5665,6148,5655,5392,58916,5194,4679,5425,4880,5017,4804,4606,4831,4323,4909,4852,5396,53751,5259,4714,4680,4323,4127,4163,4500,4417,3785,4632,4454,4697,56550,5155,4448,4719,4436,4524,4570,4717,4576,4604,5223,4751,4827,30312,2524,2538,2764,2443,2628,2550,2384,2476,2582,2606,2585,2232,2232,2232,2232,2232,2232,27450,2481,2451,2321,2274,2124,2108,2188,2554,2213,2285,2290,2161,25162,2087,1950,2066,1964,2098,2073,1978,2127,2205,2158,2213,2243,27073,2110,2067,2310,2116,2316,2306,2110,2162,2224,2481,2472,2399,32462,2438,2430,2541,2395,2488,2472,2510,2785,2754,3238,3178,3233,3233,3233,3233,3233,3233,42673,3679,3389,3561,3370,3407,3380,3610,3510,3436,3829,3624,3878,61344,4228,4269,5017,4463,4969,5155,5322,5464,5280,5785,5612,5780,71984,6069,5771,6637,5569,6262,5982,6214,6238,6143,5971,5655,5473,62392,5666,5265,6083,5202,5522,4709,4908,5109,4775,5315,5029,4809,4809,4809,4809,4809,4809,56846,5102,4529,4738,4735,4910,4346,4701,5037,4379,5091,4842,4436,32836,4788,4345,4282,3791,4030,3773,4038,3789
ROBO DE VEHICULOSIN VIOLENCIA,116086,9818,8750,8987,8779,8624,8784,8854,10583,10577,10862,10748,10720,74119,7391,6617,6813,6321,6329,6471,6178,6625,6392,5413,4826,4743,93632,7839,7629,8199,7272,7622,7571,7786,7637,7821,8301,7897,8058,93422,8316,7904,8212,7333,7860,7764,7898,7924,7513,7785,7543,7370,90803,7931,7154,7746,7192,8047,7617,7284,7615,7545,7617,7578,7477,86919,7866,6942,7285,7060,7071,7045,7220,7430,7153,7548,6925,7374,90268,7537,7176,7228,7317,7854,7307,7838,7686,7842,7562,7063,7858,114145,9948,9328,9667,8769,9162,8986,8775,9191,9312,9978,10905,10124,10124,10124,10124,10124,10124,116075,10556,9845,10239,9759,9073,8974,9214,9603,9559,10016,9574,9663,121644,9954,9241,10313,9646,10273,9928,10016,10607,10025,10278,10613,10750,136058,10653,10393,10926,10034,11095,11145,11329,11707,12027,12305,12049,12395,161355,13340,12578,13058,13136,13600,13279,13861,14561,13233,14203,13162,13344,13344,13344,13344,13344,13344,159654,14056,12675,13489,12146,13297,12971,13344,12991,13492,13852,13150,14191,171173,14634,13413,14924,13338,14066,13584,14045,14428,14310,15025,14893,14513,161178,14807,13617,14791,12282,13776,12768,13306,13443,13213,13016,13082,13077,146457,12790,12239,12602,11844,12237,11553,12366,12308,12039,12458,12176,11845,11845,11845,11845,11845,11845,131917,12564,11292,11612,11149,11291,10430,10647,11338,10248,10498,10302,10546,78108,10398,9511,10241,9459,10001,9148,9655,9695
